"health","level","moves","r0c0","r0c1","r0c2","r0c3","r0c4","r0c5","r0c6","r1c0","r1c1","r1c2","r1c3","r1c4","r1c5","r1c6","r2c0","r2c1","r2c2","r2c3","r2c4","r2c5","r2c6","r3c0","r3c1","r3c2","r3c3","r3c4","r3c5","r3c6","r4c0","r4c1","r4c2","r4c3","r4c4","r4c5","r4c6","r5c0","r5c1","r5c2","r5c3","r5c4","r5c5","r5c6","r6c0","r6c1","r6c2","r6c3","r6c4","r6c5","r6c6","s0d0","s0d1","s0d2","s0d3","s0d4","s0d5","s0d6","s1d0","s1d1","s1d2","s1d3","s1d4","s1d5","s1d6","s2d0","s2d1","s2d2","s2d3","s2d4","s2d5","s2d6","s3d0","s3d1","s3d2","s3d3","s3d4","s3d5","s3d6","s4d0","s4d1","s4d2","s4d3","s4d4","s4d5","s4d6","s5d0","s5d1","s5d2","s5d3","s5d4","s5d5","s5d6","s6d0","s6d1","s6d2","s6d3","s6d4","s6d5","s6d6"
1,0,4,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,1,2,"grass","grass","grass","","","","","grass","start","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,2,4,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,3,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,4,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","gem","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,5,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","gem","gem","gem","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,6,8,"start","grass","grass","","","","","grass","endClosed","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","","gem","","","","","gem","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,7,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","gem","gem","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,8,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,9,4,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","boulder","","","","","boulder","gem","gem","","","","","boulder","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,10,10,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","boulder","gem","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,11,6,"start","grass","endClosed","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","","","","","","gem","boulder","gem","","","","","gem","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,12,4,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","boulder","boulder","gem","","","","","hammer","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,13,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","","","boulder","","","","","","hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,14,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","boulder","","","","","hammer","boulder","boulder","","","","","boulder","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,15,7,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","endClosed","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","hammer","boulder","gem","","","","","boulder","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,16,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","hammer","boulder","boulder","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,17,6,"start","grass","endClosed","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","","","","","","hammer","boulder","gem","","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,18,8,"endClosed","grass","grass","","","","","grass","start","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","boulder","","gem","","","","","gem","gem","hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,19,8,"start","marsh","grass","","","","","grass","grass","grass","","","","","grass","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,20,7,"start","marsh","marsh","","","","","marsh","endClosed","grass","","","","","marsh","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,21,10,"start","marsh","grass","","","","","grass","marsh","marsh","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","gem","","","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,22,11,"grass","marsh","marsh","","","","","grass","marsh","marsh","","","","","start","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","gem","","","","","gem","","","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,23,12,"start","marsh","grass","","","","","marsh","endClosed","marsh","","","","","grass","marsh","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","","","","","","","gem","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,24,11,"start","grass","grass","","","","","grass","marsh","grass","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","boulder","","gem","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,25,6,"start","grass","grass","","","","","grass","marsh","grass","","","","","grass","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","hammer","","gem","","","","","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,26,7,"start","grass","grass","","","","","grass","marsh","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","gem","","","","","gem","","gem","","","","","hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,27,10,"start","marsh","grass","","","","","marsh","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","","","","","","gem","boulder","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,28,8,"marsh","grass","marsh","","","","","grass","start","grass","","","","","marsh","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","gem","","gem","","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,29,10,"start","grass","grass","","","","","grass","grass","marsh","","","","","grass","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","boulder","","","","","boulder","boulder","gem","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,30,13,"start","marsh","marsh","","","","","grass","marsh","marsh","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","boulder","gem","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,31,11,"start","marsh","endClosed","","","","","grass","marsh","grass","","","","","grass","marsh","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","boulder","gem","boulder","","","","","boulder","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,32,11,"start","marsh","grass","","","","","marsh","marsh","grass","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","boulder","boulder","","","","","hammer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,33,11,"start","marsh","grass","","","","","endClosed","grass","grass","","","","","grass","marsh","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","","boulder","boulder","","","","","hammer","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,34,4,"start","grass","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","boulder","","","","","boulder","boulder","warp","","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,35,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","boulder","","","","","gem","boulder","warp","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,36,4,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","warp","","","","","gem","boulder","gem","","","","","warp","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,37,9,"start","grass","grass","","","","","grass","endClosed","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","","warp","","","","","warp","boulder","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,38,8,"start","grass","endClosed","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","","","","","","warp","gem","gem","","","","","gem","boulder","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,39,8,"grass","grass","grass","","","","","grass","start","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","boulder","gem","","","","","warp","","warp","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,40,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","hammer","","","","","gem","warp","boulder","","","","","warp","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,41,6,"start","grass","endClosed","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","","","","","","warp","gem","boulder","","","","","gem","boulder","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,42,6,"start","grass","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","gem","","","","","boulder","warp","boulder","","","","","","gem","warp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,43,7,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","warp","warp","boulder","","","","","boulder","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,44,8,"grass","grass","grass","","","","","start","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","boulder","gem","","","","","","boulder","warp","","","","","gem","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,45,6,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","hammer","gem","","","","","warp","boulder","boulder","","","","","warp","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,46,8,"start","marsh","marsh","","","","","grass","marsh","grass","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","warp","","warp","","","","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,47,12,"start","marsh","grass","","","","","marsh","grass","marsh","","","","","grass","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","warp","","","","","gem","boulder","gem","","","","","warp","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,48,11,"start","marsh","marsh","","","","","grass","endClosed","grass","","","","","marsh","marsh","marsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","warp","","warp","","","","","gem","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,49,7,"start","grass","grass","","","","","grass","marsh","grass","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","boulder","","","","","gem","warp","gem","","","","","warp","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,50,11,"start","marsh","endClosed","","","","","marsh","marsh","grass","","","","","marsh","marsh","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","warp","","","","","","","","","","","","","gem","warp","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,51,7,"start","endClosed","grass","","","","","grass","grass","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","","","","","gem","enemy","gem","","","","","gem","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,52,6,"start","grass","grass","","","","","grass","endClosed","grass","","","","","grass","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","enemy","","","","","enemy","","enemy","","","","","enemy","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,53,5,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","endClosed","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","sword","","","","","gem","enemy","enemy","","","","","gem","","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,54,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","gem","","","","","hammer","boulder","gem","","","","","enemy","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,55,8,"start","grass","grass","","","","","grass","grass","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","hammer","","","","","gem","enemy","boulder","","","","","boulder","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,56,9,"start","grass","grass","","","","","grass","marsh","grass","","","","","grass","grass","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enemy","","","","","enemy","","gem","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,57,14,"start","marsh","marsh","","","","","marsh","marsh","marsh","","","","","marsh","marsh","endClosed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gem","gem","","","","","gem","enemy","enemy","","","","","gem","gem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,58,8,"start","grass","grass","","","","","grass","grass","grass","","","","","endClosed","grass","grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","boulder","","","","","","enemy","gem","","","","","","sword","boulder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
