hash,level,moves,health,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5
0,0,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
4,4,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
5,5,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,8,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,,boulder,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,
7,7,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,hammer,boulder,boulder,,,,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,
8,8,8,1,start,marsh,grass,,,,grass,grass,grass,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
9,9,7,1,start,marsh,marsh,,,,marsh,endClosed,grass,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
10,10,11,1,start,marsh,grass,,,,marsh,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,,gem,boulder,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
11,11,7,1,start,grass,grass,,,,grass,marsh,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,gem,,gem,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,
12,12,8,1,marsh,grass,marsh,,,,grass,start,grass,,,,marsh,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,,gem,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
13,13,7,1,start,endClosed,grass,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,gem,enemy,gem,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,
14,14,8,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,enemy,gem,,,,,sword,boulder,,,,,,,,,,,,,,,,,,,,,
15,15,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,sword,enemy,,,,sword,enemy,enemy,,,,enemy,enemy,,,,,,,,,,,,,,,,,,,,,,
16,16,6,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,boulder,boulder,boulder,,,,sword,enemy,,,,,,,,,,,,,,,,,,,,,,
17,17,10,1,start,marsh,grass,,,,marsh,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,sword,enemy,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,,
18,18,4,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,boulder,boulder,warp,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
19,19,8,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,sword,warp,,,,enemy,enemy,gem,,,,,boulder,warp,,,,,,,,,,,,,,,,,,,,,
20,20,5,1,start,grass,grass,,,,grass,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,warp,enemy,,,,sword,enemy,enemy,,,,warp,enemy,,,,,,,,,,,,,,,,,,,,,,
21,21,8,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,warp,gem,gem,,,,gem,boulder,gem,,,,,,,,,,,,,,,,,,,,,
22,22,8,1,grass,grass,grass,,,,grass,start,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,gem,boulder,gem,,,,warp,,warp,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,
23,23,2,1,start,ice,ice,,,,grass,grass,ice,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,3,1,start,ice,ice,,,,marsh,marsh,ice,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,
25,25,4,1,start,ice,ice,,,,ice,grass,ice,,,,ice,ice,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,gem,,,,gem,,,,,,,,,,,,,,,,,,,,,,,
26,26,4,1,start,grass,grass,,,,grass,ice,ice,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,gem,,,,,,warp,,,,,,,,,,,,,,,,,,,,,,
27,27,7,1,start,grass,grass,,,,ice,grass,endClosed,,,,ice,ice,grass,,,,,,,,,,,,,,,,,,,,,,,,sword,,,,,boulder,,,,,,gem,enemy,,,,,,,,,,,,,,,,,,,,,
28,28,5,1,start,ice,ice,,,,ice,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,gem,warp,warp,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,
29,29,6,2,start,grass,grass,,,,ice,grass,grass,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,enemy,sword,,,,,,,,,,,,,,,,,,,,,,
30,30,6,2,start,ice,ice,,,,grass,grass,grass,,,,endClosed,ice,ice,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,sword,enemy,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,
31,31,7,1,start,ice,grass,,,,ice,grass,grass,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,gem,boulder,,,,warp,,,,,,,,,,,,,,,,,,,,,,,
32,32,6,1,start,endClosed,ice,,,,grass,grass,ice,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,hammer,boulder,gem,,,,,,,,,,,,,,,,,,,,,
33,33,6,1,start,grass,endClosed,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,warp,gem,boulder,,,,gem,boulder,boulder,,,,,,,,,,,,,,,,,,,,,
34,34,7,1,endClosed,start,grass,,,,grass,grass,grass,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,enemy,boulder,sword,,,,gem,sword,enemy,,,,,,,,,,,,,,,,,,,,,
35,35,6,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,boulder,warp,boulder,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,
36,36,6,1,start,grass,grass,,,,grass,grass,grass,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,boulder,warp,enemy,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,
37,37,11,1,start,marsh,grass,,,,endClosed,grass,grass,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,boulder,boulder,,,,hammer,,gem,,,,,,,,,,,,,,,,,,,,,
38,38,10,1,start,grass,marsh,,,,endClosed,grass,ice,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,enemy,gem,,,,,sword,gem,,,,,,,,,,,,,,,,,,,,,
