hash,health,hintsSolution,level,moves,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,s0d0,s0d1,s0d2,s0d3,s0d4,s0d5,s0d6,s1d0,s1d1,s1d2,s1d3,s1d4,s1d5,s1d6,s2d0,s2d1,s2d2,s2d3,s2d4,s2d5,s2d6,s3d0,s3d1,s3d2,s3d3,s3d4,s3d5,s3d6,s4d0,s4d1,s4d2,s4d3,s4d4,s4d5,s4d6,s5d0,s5d1,s5d2,s5d3,s5d4,s5d5,s5d6,s6d0,s6d1,s6d2,s6d3,s6d4,s6d5,s6d6
0,1,"R,R,D,D",0,4,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"R,D",1,2,grass,grass,grass,,,,,grass,start,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,"R,D,R,D",2,4,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,"R,R,D,L,D,R",3,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,"R,R,D,L,L,D,R,R",4,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,"D,D,R,U,U,R,D,D",5,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,gem,gem,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,"D,D,R,R,U,U,L,D",6,8,start,grass,grass,,,,,grass,endClosed,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,,gem,,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,"D,D,R,U,U,R,D,D",7,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,gem,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,"D,D,R,R,U,U,D,D",8,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,"R,D,R,D",9,4,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,boulder,gem,gem,,,,,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,"D,D,R,R,U,U,L,R,D,D",10,10,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,boulder,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,"D,D,R,R,U,U",11,6,start,grass,endClosed,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,gem,boulder,gem,,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,"R,R,D,D",12,4,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,boulder,boulder,gem,,,,,hammer,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,"D,D,R,U,R,U,D,D",13,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,,,boulder,,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,"D,U,R,D,R,D",14,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,,hammer,boulder,boulder,,,,,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,"D,U,R,R,D,D,L",15,7,start,grass,grass,,,,,grass,grass,grass,,,,,grass,endClosed,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,hammer,boulder,gem,,,,,boulder,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,"R,R,L,L,D,D,R,R",16,8,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,hammer,boulder,boulder,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,"D,D,R,R,U,U",17,6,start,grass,endClosed,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,,,,,,hammer,boulder,gem,,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,"R,U,D,D,L,L,U,U",18,8,endClosed,grass,grass,,,,,grass,start,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,boulder,,gem,,,,,gem,gem,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,"D,D,U,R,R,U,D,D",19,8,start,marsh,grass,,,,,grass,grass,grass,,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,"R,D,R,D,L,U",20,7,start,marsh,marsh,,,,,marsh,endClosed,grass,,,,,marsh,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,"D,D,R,R,U,U,D,D",21,10,start,marsh,grass,,,,,grass,marsh,marsh,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,"U,U,R,R,D,D,L,R",22,11,grass,marsh,marsh,,,,,grass,marsh,marsh,,,,,start,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,gem,,,,,gem,,,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,"R,R,D,D,L,L,U,R",23,12,start,marsh,grass,,,,,marsh,endClosed,marsh,,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,,,,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,"R,R,D,D,L,L,R,R",24,11,start,grass,grass,,,,,grass,marsh,grass,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,boulder,,gem,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,"D,U,R,R,D,D",25,6,start,grass,grass,,,,,grass,marsh,grass,,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,hammer,,gem,,,,,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,"D,R,R,U,D,D",26,7,start,grass,grass,,,,,grass,marsh,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,gem,,,,,gem,,gem,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,"R,R,L,D,D,L,R,R",27,10,start,marsh,grass,,,,,marsh,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,,,,,,gem,boulder,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,"U,D,L,R,R,L,D,R",28,8,marsh,grass,marsh,,,,,grass,start,grass,,,,,marsh,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,gem,,gem,,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,"R,L,D,D,R,R,U,D",29,10,start,grass,grass,,,,,grass,grass,marsh,,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,boulder,,,,,boulder,boulder,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,"R,R,D,D,L,L,U,D,R,R",30,13,start,marsh,marsh,,,,,grass,marsh,marsh,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,boulder,gem,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,"R,D,D,U,U,R",31,11,start,marsh,endClosed,,,,,grass,marsh,grass,,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,boulder,gem,boulder,,,,,boulder,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,"D,D,R,R,U,U,D,D",32,11,start,marsh,grass,,,,,marsh,marsh,grass,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,boulder,boulder,,,,,hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,"D,D,R,R,U,U,L,L,D",33,11,start,marsh,grass,,,,,endClosed,grass,grass,,,,,grass,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,,boulder,boulder,,,,,hammer,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,"R,D,L,L",34,4,start,grass,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,,boulder,boulder,warp,,,,,,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,"D,D,U,U,R,D",35,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,,,,,gem,boulder,warp,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,"D,D,D,D",36,4,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boulder,warp,,,,,gem,boulder,gem,,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,"R,R,D,U,D,D,U,U,R",37,9,start,grass,grass,,,,,grass,endClosed,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,gem,,warp,,,,,warp,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,"R,D,U,D,R,D,U,U",38,8,start,grass,endClosed,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,warp,gem,gem,,,,,gem,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,"R,U,D,U,D,D,U,D",39,8,grass,grass,grass,,,,,grass,start,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,gem,,,,,warp,,warp,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,"R,D,U,D,D,R",40,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,hammer,,,,,gem,warp,boulder,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,"R,D,U,D,L,R",41,6,start,grass,endClosed,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,warp,gem,boulder,,,,,gem,boulder,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,"R,R,D,L,L,L",42,6,start,grass,grass,,,,,grass,grass,grass,,,,,endClosed,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,,boulder,warp,boulder,,,,,,gem,warp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,"R,R,L,L,D,D,R",43,7,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,gem,,,,,warp,warp,boulder,,,,,boulder,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,"D,U,U,U,D,D,U,D",44,8,grass,grass,grass,,,,,start,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,boulder,gem,,,,,,boulder,warp,,,,,gem,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,"R,R,D,D,L,R",45,6,start,grass,grass,,,,,grass,grass,grass,,,,,grass,grass,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hammer,gem,,,,,warp,boulder,boulder,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,"D,U,D,D,U,D",46,8,start,marsh,marsh,,,,,grass,marsh,grass,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,warp,,warp,,,,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,"D,U,R,R,R,R,U,D",47,12,start,marsh,grass,,,,,marsh,grass,marsh,,,,,grass,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,warp,,,,,gem,boulder,gem,,,,,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,"D,U,D,D,U,D,U,R",48,11,start,marsh,marsh,,,,,grass,endClosed,grass,,,,,marsh,marsh,marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,warp,,warp,,,,,gem,,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,"R,L,D,D,R,D",49,7,start,grass,grass,,,,,grass,marsh,grass,,,,,marsh,marsh,endClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,boulder,,,,,gem,warp,gem,,,,,warp,boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,"R,L,R,R,D,D,U,U",50,11,start,marsh,endClosed,,,,,marsh,marsh,grass,,,,,marsh,marsh,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,warp,,,,,,,,,,,,,gem,warp,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10,"D,D,R,R,U,U,L",51,7,start,endClosed,grass,,,,,grass,grass,grass,,,,,grass,grass,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gem,,,,,gem,enemy,gem,,,,,gem,gem,gem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
